Epoch,Open,High,Low,Close,Volume,Number
2023-12-16 22:40:00+00:00,2226.05,2227.23,2220.12,2226.72,3703028.6959729996,2013
2023-12-16 22:45:00+00:00,2226.72,2227.07,2226.72,2226.87,494556.67122,680
2023-12-16 22:50:00+00:00,2226.87,2228.98,2226.25,2228.98,918526.206036,972
2023-12-16 22:55:00+00:00,2228.98,2228.98,2228.93,2228.94,677233.497928,623
2023-12-16 23:00:00+00:00,2228.94,2229.85,2226.58,2228.06,1546946.435705,1207
2023-12-16 23:05:00+00:00,2228.06,2229.66,2225.15,2225.88,883717.311368,1195
2023-12-16 23:10:00+00:00,2225.88,2226.05,2221.0,2221.59,1592437.938173,1512
2023-12-16 23:15:00+00:00,2221.59,2225.64,2220.53,2225.43,1161610.5531569999,1315
2023-12-16 23:20:00+00:00,2225.43,2227.33,2223.46,2226.56,948221.206975,1068
2023-12-16 23:25:00+00:00,2226.56,2226.57,2224.59,2225.09,729977.192421,994
2023-12-16 23:30:00+00:00,2225.09,2226.73,2223.98,2224.27,834930.492361,1063
2023-12-16 23:35:00+00:00,2224.27,2227.87,2224.27,2225.89,1530232.463866,1153
2023-12-16 23:40:00+00:00,2225.89,2226.8,2225.05,2225.06,1025264.091762,1009
2023-12-16 23:45:00+00:00,2225.06,2226.0,2224.63,2225.67,486196.408006,916
2023-12-16 23:50:00+00:00,2225.67,2229.01,2225.67,2226.53,640987.190814,1144
2023-12-16 23:55:00+00:00,2226.53,2229.66,2226.52,2228.96,832482.462844,931
2023-12-17 00:00:00+00:00,2228.96,2231.33,2228.53,2231.32,967777.082396,990
2023-12-17 00:05:00+00:00,2231.32,2231.94,2228.72,2230.36,1801467.13835,1293
2023-12-17 00:10:00+00:00,2230.36,2231.96,2230.01,2231.91,833728.130632,974
2023-12-17 00:15:00+00:00,2231.91,2233.69,2231.3,2231.71,884527.182179,1115
2023-12-17 00:20:00+00:00,2231.71,2233.2,2231.33,2231.91,518419.528443,918
2023-12-17 00:25:00+00:00,2231.91,2232.61,2230.69,2231.18,675435.66669,917
2023-12-17 00:30:00+00:00,2231.18,2233.1,2230.69,2230.69,1260778.21639,1232
2023-12-17 00:35:00+00:00,2230.69,2233.08,2230.66,2232.42,702675.808693,993
2023-12-17 00:40:00+00:00,2232.42,2233.55,2232.0,2232.61,480730.457817,982
2023-12-17 00:45:00+00:00,2232.61,2232.61,2231.13,2232.1,486870.943718,922
2023-12-17 00:50:00+00:00,2232.1,2232.45,2229.65,2230.05,693449.0958370001,991
2023-12-17 00:55:00+00:00,2230.05,2230.06,2225.68,2225.69,1038723.83106,1271
2023-12-17 01:00:00+00:00,2225.69,2229.83,2222.67,2228.97,1720911.5719579998,1708
2023-12-17 01:05:00+00:00,2228.97,2231.25,2228.68,2229.77,1036735.616548,1177
2023-12-17 01:10:00+00:00,2229.77,2232.39,2228.81,2231.71,765497.7280260001,1044
2023-12-17 01:15:00+00:00,2231.71,2231.72,2229.08,2229.39,771821.674789,1090
2023-12-17 01:20:00+00:00,2229.39,2230.61,2228.61,2230.4,914239.6426050001,996
2023-12-17 01:25:00+00:00,2230.4,2232.2,2230.39,2231.46,811504.012101,874
2023-12-17 01:30:00+00:00,2231.46,2231.47,2228.34,2228.35,969567.275194,1133
2023-12-17 01:35:00+00:00,2228.35,2228.49,2221.5,2223.98,1351463.524765,2151
2023-12-17 01:40:00+00:00,2223.98,2224.5,2221.33,2224.27,1471227.8414,1568
2023-12-17 01:45:00+00:00,2224.27,2225.85,2220.21,2220.24,1772938.372112,2098
